Edge ID,Module,Scenario,Precondition,Steps,Expected Result,Priority,Execution Safety,Related Workbook Area,Automation State
EDGE-001,Login,Whitespace and case handling for username,Dedicated QA account exists,"Enter the username with leading/trailing spaces and with changed letter case; submit separately","Normalization or rejection is consistent with the approved username policy; no unintended account is authenticated",High,Read-only login attempt; rate-limit review,01_Login,Proposed - not automated
EDGE-002,Login,Expired session while opening a protected route,QA session can be expired without affecting other users,"Expire the audit session; open a protected deep link; retry after login","Protected content is not shown before re-authentication; intended destination is restored only after authorization",Critical,Read-only; dedicated QA account,01_Login and 15_System,Proposed - not automated
EDGE-003,Login,Logout in one tab invalidates another tab,Two tabs share the same QA browser session,"Open dashboard in two tabs; log out in one; refresh protected view in the other","Second tab cannot continue accessing protected data with the terminated session",Critical,Read-only session state,01_Login and 15_System,Proposed - not automated
EDGE-004,Dashboard,Rapid date-filter changes do not show stale metrics,Dashboard has seeded non-sensitive data,"Change date range twice before the first request completes; inspect final metrics","Only the latest selected date range is reflected; old responses cannot overwrite newer results",High,Sensitive read-only fixture,02_Dashboard,Proposed - not automated
EDGE-005,Dashboard,No-data and partial API failure state,Seeded empty interval and controlled mock failure available,"Open an empty interval; then simulate failure of one non-critical dashboard API","Empty and error states are explicit; other widgets remain usable; no misleading zero is shown for failed data",High,Read-only with isolated response mock,02_Dashboard,Proposed - not automated
EDGE-006,Dashboard,Back-forward navigation does not retain listeners,QA login and empty registration route available,"Navigate dashboard to registration and back ten times; force GC at each dashboard checkpoint","DOM nodes, event listeners, and retained heap plateau after warm-up",High,Read-only performance regression,02_Dashboard and 03_Registration,Proposed - not automated
EDGE-007,Registration,Two simultaneous submissions with one identifier,Two isolated synthetic registrations use the same test identifier,"Submit both registration attempts concurrently","At most one patient is created; duplicate is reported clearly; no partial orphan record remains",Critical,Synthetic patient write; approval and cleanup,03_Registration,Proposed - not automated
EDGE-008,Registration,OTP expiry and replay resistance,Dedicated synthetic identity and OTP test channel available,"Request OTP; let it expire; attempt expired code; request new code; replay old code","Expired/replayed codes are rejected according to policy and attempts are auditable",Critical,External OTP side effect; dedicated channel approval,03_Registration,Proposed - not automated
EDGE-009,Registration,Save timeout followed by retry is idempotent,Synthetic patient fixture and controlled response delay available,"Submit once while response is delayed; retry after timeout","One patient/visit is created; UI identifies whether the first submission succeeded",Critical,Synthetic patient write; approval and cleanup,03_Registration,Proposed - not automated
EDGE-010,Registration,Date-of-birth leap-day and future-date boundary,Unsaved synthetic registration form,"Enter leap-day dates around non-leap years and a future DOB; inspect validation","Accepted dates and age calculation match approved policy; future dates are blocked",High,Local form validation; do not save,03_Registration,Proposed - not automated
EDGE-011,Triage,Two operators call the same queued patient,Two permitted QA operator accounts and synthetic queued patient available,"Attempt to call the same queued patient concurrently","Queue state remains consistent; only one active call transition is recorded",High,Synthetic workflow write; approval and cleanup,04_Triage,Proposed - not automated
EDGE-012,Triage,Invalid vital value does not silently save,Synthetic unsaved triage form available,"Enter non-numeric and policy-out-of-range values; attempt save","Validation cites the affected field; no invalid observation is persisted",Critical,Synthetic clinical write; clinical policy review,04_Triage,Proposed - not automated
EDGE-013,Consultation,Unsaved note on patient or tab switch,Synthetic consultation form with unsaved text available,"Enter a note; switch tab or patient before save","User is warned or draft is recovered according to policy; text is never attached to the wrong patient",Critical,Synthetic clinical data; approval,05_Consultation,Proposed - not automated
EDGE-014,Consultation,Double-submit of a clinical order,Synthetic active visit available,"Submit the same order twice rapidly or retry after a delayed response","One intended order is persisted and duplicate action is prevented or reconciled",Critical,Synthetic clinical write; approval and cleanup,05_Consultation,Proposed - not automated
EDGE-015,Patient Chart,Unauthorized direct patient URL,Read-only low-privilege account and synthetic chart available,"Open a chart URL directly without search; then switch roles","Unauthorized chart content and API payloads are not exposed",Critical,Sensitive read-only fixture; role approval,06_Patient_Chart,Proposed - not automated
