ID,Severity,Status,Area,Route or asset,Finding,Evidence,Likely impact,Recommended action,Retest / acceptance criterion
UAT-FE-001,High,Leak candidate,DOM and event-listener lifecycle,/openmrs/spa/home/dashboard <-> /openmrs/spa/patient-registration,Dashboard route cycles retain nodes and listeners,Ten warmed dashboard checkpoints grew from 1506 to 3918 Nodes and from 5732 to 7871 JSEventListeners; Nodes rose exactly 268 per cycle and listeners rose about 238 per cycle; a separate four-cycle run reproduced the pattern,Long sessions may accumulate DOM and handlers and increase memory or duplicate work,Inspect unmount cleanup in dashboard and patient-registration ESMs and shared shell extensions; use heap snapshots only with de-identified QA data,After warm-up ten or more identical cycles should plateau near the same-route baseline
UAT-FE-002,Medium,Needs investigation,JavaScript heap,/openmrs/spa/home/dashboard route cycles,Forced-GC heap does not show simple all-cycle linear growth,Heap was 26082044 bytes at dashboard cycle 1 and 25895244 at cycle 10; it dropped at cycle 3 then rose by 1790408 bytes from cycle 3 to 10; the test strict all-cycle heap-growth flag was false,A retained JS-object leak remains possible but the measurements alone do not prove it,Compare controlled heap snapshots and detached-node retainers after warm-up using non-sensitive QA fixtures; do not confuse browser JS heap with server Java memory,Retained object counts and forced-GC heap should stabilize across longer identical cycles
UAT-FE-003,Medium,Confirmed volume,Dashboard cold-load scripts,/openmrs/spa/home/dashboard,Dashboard starts a broad ESM payload,The ten-cycle run captured 205 completed requests and 2821004 transferred bytes; 151 Script requests transferred 2466745 bytes or about 87.4 percent of the total,Download and parse work can slow first-use on low-bandwidth or low-memory clinic devices,Map initial chunks to visible extension slots and defer non-critical ESM activation; set a fixed-device transfer and route-ready budget,Reduce initial script requests and bytes without removing required dashboard content
UAT-FE-004,Medium,Confirmed volume,Login bootstrap,/openmrs/spa/login,Anonymous login downloads substantial assets before sign-in,The ten-cycle capture recorded 55 requests and 1320093 transfer bytes including 35 scripts at 784907 bytes and 5 images at 246816 bytes,Adds transfer and processing work before authentication,Defer non-login ESMs and inspect the largest shared chunks and image assets under a fixed network profile,Lower uncached login bytes and requests while preserving sign-in behavior
UAT-FE-005,Medium,Needs review,Shared CSS and JavaScript,/openmrs/spa/d3e451b399c59c88.js; /openmrs/spa/4c9ab24009ac38c0.js; /openmrs/spa/openmrs.c72e54f3347f80b1.css,Two shared scripts and global CSS dominate cold-route transfer,The two scripts transferred 245975 and 221583 bytes on dashboard startup; the global CSS transferred 200860 bytes,Large common assets delay cold-route download and may increase parse or style work,Use bundle analysis and CSS coverage to find duplicate or route-ineligible code before changing chunk boundaries,Document contents and reduce agreed gzip budgets without a visual regression
UAT-FE-006,Medium,Needs review,Adjacent workflow ESM chunks,/openmrs/spa/home/dashboard,Dashboard startup downloads workflow chunks beyond the home app,Observed first-load chunks include express-workflow 108165 bytes; patient-registration 101590 and 89283 bytes; laboratory 82785 bytes; patient-search 65701 bytes,Hidden or route-only features may consume initial bandwidth and memory if activated eagerly,Map each ESM request to a visible dashboard slot and lazy-load only those not needed at startup,Every initial-route ESM has a documented visible or required reason to load
UAT-FE-007,Low,Confirmed,Login image,/openmrs/spa/kenya_republic_logo.png,Republic logo is the largest login image,The image transferred 171516 bytes and appears among the largest login resources,Adds avoidable bytes if the source image has unnecessary resolution or encoding,Check actual rendered dimensions and compare optimized WebP or PNG variants without degrading branding,Use an agreed image-size budget and preserve visual quality
UAT-FE-008,Low,Confirmed,Broken login asset,/openmrs/spa/badge_ksm.png,Login still requests a missing badge,The ten-cycle login network capture recorded HTTP 404 for badge_ksm.png,Wastes a request and can leave a missing visual or console noise,Deploy the referenced badge or remove or update the obsolete asset reference,No badge_ksm.png 404 on a fresh login load
UAT-FE-009,Medium,Confirmed,Layout stability,/openmrs/spa/login and /openmrs/spa/home/dashboard,Layout shift remains above a 0.1 target,The ten-cycle unthrottled Chrome run measured login CLS 0.135 and dashboard CLS 0.168; dashboard LCP was 852 ms on this fast test setup,Visible movement can distract users and timings here are not representative of slower clinic devices,Reserve dimensions for images and async widgets; profile layout shifts under a representative device and network profile,CLS <= 0.1 on an agreed representative test profile
UAT-FE-010,Low,Confirmed,Login viewport layout,/openmrs/spa/login,Login page requires 48 px vertical scrolling,The separate anonymous UAT smoke run measured document heights 816 at 1366x768 and 768 at 1280x720 and 892 at 390x844; footer logos stayed visible,Adds unnecessary scrolling and differs from workbook TC002,Investigate the 48 px top offset and full-height background or container sizing without hiding login or footer branding,Document height fits each agreed viewport and bottom content remains visible
UAT-FE-011,Info,Resolved,Optimized login background,/openmrs/spa/login-background_en.png,Optimized PNG remains deployed,The UAT network capture recorded HTTP 200 and 28636 transferred bytes for login-background_en.png,The previously oversized SVG transfer hotspot remains removed,Keep an image-size regression budget for the login background,The optimized background loads below the agreed byte budget
UAT-FE-012,Low,Needs confirmation,Login bootstrap reliability,/openmrs/spa/login,One authenticated audit attempt did not render the username field within 30 seconds,The first UAT run stopped before entering credentials; a fresh public-browser check loaded the form and the next two authenticated audits completed,A transient bootstrap failure could interrupt sign-in but one occurrence is not enough to identify the cause,Repeat bounded anonymous cold loads and inspect failed requests or browser errors only if the timeout recurs,Repeated UAT cold login loads render the form within the agreed timeout
UAT-FE-013,Info,Good,Dashboard network reliability,/openmrs/spa/home/dashboard,No dashboard request failures were captured,All 205 completed dashboard requests in the ten-cycle run had no captured network failure,This tested route had no immediate failed-request symptom,Retain failed-critical-request checks in smoke tests,Repeated dashboard loads have zero failed critical requests
