ID,Severity,Status,Category,Hotspot,Affected Area,Evidence,Potential Impact,Recommended Remediation,Verification Priority
FE-001,High,Confirmed,Frontend payload,Deployed frontend still uses the oversized login SVG,kenyaemr.config.json:45-46; login-background_ksm.svg,"The deployed configuration points to /openmrs/spa/login-background_ksm.svg, and that SVG is 13,259,490 bytes; login-background_en.png is present at only 29,870 bytes.","Login can transfer and parse about 13 MB of SVG, delaying first paint and increasing browser CPU, memory, and bandwidth use.","Rebuild and redeploy from the updated openmrs-config-kenyaemr branch, confirm the generated configuration references login-background_en.png, and remove the obsolete SVG from the artifact.",P0
FE-002,High,Confirmed,Deployment/storage,Production artifact ships extensive source-map data,all module directories and top-level *.map files,"There are 6,845 map-family files consuming about 212.73 MiB, including uncompressed maps and some .gz/.br copies.","Source maps increase archive, upload, extraction, backup, antivirus scan, inode, and disk costs; if publicly served they also expose original source and can consume bandwidth when developer tools request them.","Exclude source maps from production or upload them to a restricted error-monitoring service, then generate deployment archives from an explicit allowlist.",P0
FE-003,High,Confirmed,Deployment/storage,Generated frontend is exceptionally large and file-heavy,entire frontend directory,"The directory contains 15,191 files and 561,845,401 logical bytes (about 573 MiB on disk); 7,961 JavaScript files alone total about 297.45 MiB.","Deployments and rollbacks require large transfers and slow extraction/file scanning, while stale chunks increase operational complexity and disk use.","Create each deployment in a clean directory, include only import-map/route-reachable production assets, remove maps and orphaned files, and enforce total-size/file-count budgets in CI.",P0
FE-004,High,Potential,Network compression,Most JavaScript files lack precompressed variants,all module JavaScript assets,"Only 59 of 7,961 JavaScript files have matching .gz files and only 59 have matching .br files; server-side dynamic compression configuration was not available in this folder.","If the web server does not dynamically compress these files, route navigation can transfer multi-megabyte raw chunks and perform poorly on clinic networks.","Verify Content-Encoding with browser/network tests; enable Brotli/gzip at the web server or precompress every served JS/CSS/JSON asset during assembly.",P0
FE-005,High,Confirmed,JavaScript parse/heap,Several lazy chunks exceed roughly 1.7-2.4 MB uncompressed,multiple application directories,"Examples include registration 706.js at 2,429,887 bytes, stock-management 293.js at 2,394,852 bytes, appointments 4728.js at 2,369,174 bytes, and form-builder 5491.js at 2,066,473 bytes.","Opening affected routes can cause long download, compilation, main-thread blocking, and transient/retained browser heap growth on low-spec workstations.","Run per-route bundle analysis in the source repositories, split rarely used features, externalize truly shared dependencies, and set compressed chunk and interaction-latency budgets.",P0
FE-006,Medium,Confirmed,Render blocking,Global stylesheet is large,openmrs.c7aee46767816c4f.css; index.html:1,"index.html loads a render-blocking 3,454,392-byte stylesheet; Brotli and gzip siblings exist, but the browser must still parse the full expanded CSS into the CSSOM.","CSS download/parse and style recalculation can delay first render and consume memory even when network compression is working.","Audit unused selectors, split route-specific styles, ensure the server serves the Brotli file, and measure CSS coverage plus first-contentful paint on target devices.",P1
FE-007,Medium,Confirmed,Bootstrap complexity,Shell registers a broad microfrontend and route surface,importmap.json; routes.registry.json; index.html:1-8,"The import map contains 57 applications; routes.registry.json is 117,628 bytes and declares 463 extensions plus 44 pages before application use.","Startup must fetch, parse, validate, and index substantial routing/extension metadata, increasing initialization allocations and potentially activating more extensions than needed per route.","Remove unused applications from the distribution, disable obsolete extensions at build time, partition deployments by operational need where practical, and profile bootstrap timing.",P1
FE-008,Medium,Confirmed,Configuration bootstrap,Three configuration overlays are loaded at startup,index.html:8; dha.config.json; kenyaemr.config.json; openmrs.config.json,"The shell loads DHA, KenyaEMR, and OpenMRS overlays totaling about 59 KB on every initial application load.","Repeated or default-equivalent configuration increases fetch, JSON parse, merge, validation, and allocation work and makes regressions harder to isolate.","Consolidate generated production configuration, remove defaults and duplicates, minify it, and configure correct cache/revalidation headers.",P2
FE-009,Medium,Confirmed,Asset proliferation,Form-entry package contains thousands of locale artifacts,openmrs-esm-form-entry-app-12.1.1-pre.11158/assets/l10n/locales,"The locale directory contains 3,462 files totaling about 3.17 MiB across locale, source-map, and compressed variants.","Even when locales load lazily, the file count slows packaging, copying, extraction, backups, and filesystem scans; accidental eager discovery can create many requests.","Package only supported production locales and required formats, verify locale chunks are lazy-loaded, and exclude their maps from deployment.",P1
FE-010,Medium,Potential,Dependency duplication,Large library chunks recur across independently built applications,multiple OpenMRS and KenyaEMR application directories,"Content hashing found 393 exactly duplicated JavaScript groups but only about 2.26 MiB directly reclaimable; many similarly sized 1.7-1.8 MB chunks differ across application versions, indicating possible version-specific copies that exact hashing cannot deduplicate.","Navigating across apps may download and retain multiple versions of common libraries, increasing cache usage, parse time, and browser heap.","Use bundle analyzers in the source projects, align shared dependency versions, enforce peer/external dependency rules, and measure unique transferred modules across a representative clinical journey.",P1
FE-011,Medium,Potential,Browser memory leaks,Compiled bundles contain many listener/timer sites but lack auditable lifecycle context,compiled *.js bundles,"Static scanning found addEventListener in 1,113 bundles and setInterval in 146 bundles; minification and generated chunks prevent reliable pairing with cleanup logic, and no source repository or runtime heap trace is present here.","Unremoved listeners, intervals, subscriptions, observers, or cached patient objects could retain detached pages after repeated navigation, but this cannot be confirmed from counts alone.","Run Chrome allocation/heap profiles through repeated login, patient-chart, form, queue, and billing navigation; fix retained objects in the owning source repositories and rebuild this artifact.",P1
FE-012,Medium,Confirmed,Asset metadata,Replacement PNG is actually JPEG-encoded,login-background_en.png,"The file command identifies login-background_en.png as a 561x800 baseline JPEG despite its .png extension.","Extension/content mismatch can produce an incorrect Content-Type, confuse image optimization/CDN tooling, and make caching or strict MIME handling unreliable.","Rename it to login-background_en.jpg and update configuration/build references, or convert it to a genuine optimized PNG/WebP while preserving the intended appearance.",P1
FE-013,Low,Verified clean,Artifact integrity,Import-map targets are present,importmap.json and 57 mapped entry files,"All 57 import-map paths resolve to existing files in this artifact; no missing entry target was detected.","The shell should not fail solely because an import-map application entry is absent, although route-level chunks still require browser verification.","Keep this check in deployment CI and additionally crawl manifest/chunk references before promotion.",P2
FE-014,Low,Verified clean,Running processes,No script or frontend server is currently running from this directory,local process inspection,"No non-audit Node, npm, webpack, HTTP server, or process referencing /EMR_resources/frontend was found during inspection.","This folder is currently inert on the workstation; its JavaScript runs only when served and loaded in a browser.","No action required; inspect the actual web server/container separately when validating live caching, compression, and browser behavior.",P2
