Severity,Status,Category,Issues,Explanation,Affected Area,Evidence,Potential Impact,Recommended Remediation
Critical,Open,Java heap retention,Controller caches use TTL checks but never evict expired keys,"The system temporarily remembers authorization, beneficiary, facility and eligibility information, but old entries are not properly removed.",VirtualClaimsRestController,"preauthStatusCache, whitelistStatusCache, facilityInfoCache, and eligibilityCache are ConcurrentHashMaps; expiry is checked on lookup but expired entries are not removed globally","Heap grows with unique authorization, beneficiary, facility, and eligibility keys over JVM lifetime",Replace maps with bounded expiring caches such as Caffeine maximumSize plus expireAfterWrite or add scheduled eviction and size limits
Critical,Open,Java heap retention,Intervention catalog caches retain expired keys,Similar issue with intervention/patient information: expired information can remain in memory unless exactly the same information is requested again.,InterventionDocTypeCatalog,cache and discoveryCache are ConcurrentHashMaps; expired entries are overwritten only when the same key is requested again and no global eviction exists,"Unique patient, sub-benefit, and intervention combinations accumulate indefinitely","Use bounded expiring caches; add maximum key count, eviction metrics, and immutable values"
High,Open,Java heap retention,Per-key idempotency locks remain after release,"The system uses locks to prevent the same claim operation from happening twice, but some used locks remain stored afterwards.",IdempotencyServiceImpl,release unlocks ReentrantLock but does not remove it from locks; the entire map is cleared only when purgeExpired executes successfully,Unique idempotency keys accumulate between purge runs and indefinitely if the scheduler is disabled or repeatedly fails,Remove idle locks safely after unlock or use a bounded keyed-lock implementation; retain database expiry cleanup
Medium,Open,Classloader and thread-local retention,Static ThreadLocal formatter caches are defined but never cleared,,ValuatedClaimItem; ValuatedClaimForm; ClaimFormServiceImpl; InsurancePolicyServiceImpl,Each holder exposes clearThreadLocal but no production call sites invoke it,Container worker threads can retain module classes and formatter maps across module reload; per-thread maps persist for thread lifetime,Prefer DateTimeFormatter; otherwise remove ThreadLocal values after request work and during module shutdown
Critical,Open,Unbounded database loading,REST collection paging occurs after loading all claims,"A user may ask for 20 claims, but KenyaEMR first retrieves all claims and only afterwards chooses the 20 to display.",ClaimResource,doGetAll calls getAllInsuranceClaims and then wraps the complete list in NeedsPaging,"Every request loads all claim entities before returning one page; heap, query time, and Hibernate-session size grow with total claims",Implement DAO-level offset/limit pagination and a separate count query
Critical,Open,Unbounded database loading,Custom get-all-claims endpoint returns every claim,Another endpoint retrieves every claim and prepares all of them for transmission to the browser.,InsuranceClaimResourceController,"getAllClaims calls insuranceClaimService.getAll(false), builds a second list of response maps, and returns it without pagination","Large heap allocations, oversized JSON, long GC pauses, slow responses, and possible OutOfMemoryError",Require pagination and filters; return lightweight projections and enforce maximum page size
High,Open,Full-table scans,Claim lookups scan all insurance claims in application memory,"To find one claim, visit or authorization, some code first retrieves all claims and searches through them one by one.",InsuranceClaimServiceImpl; VirtualClaimsIntegrationServiceImpl; VirtualClaimsRestController,"Visit UUID, authorization code, consent token, and claim code paths call getAllInsuranceClaims and iterate until a match is found",Database and heap cost grows with total claim count; repeated endpoints create severe latency,"Add indexed DAO finder methods for visit UUID, authorization code, consent token, claim code, voided state, and workflow state"
High,Open,Repeated full scans,Virtual claim endpoints repeatedly scan all claims,Several virtual-claims operations repeat that same “retrieve everything then search” behaviour.,VirtualClaimsRestController,Several request paths around claim interventions and printable claim lookup call getAllInsuranceClaims for individual lookups,Repeated full entity loading and lazy association access under normal request traffic,Replace every full scan with parameterized database queries returning at most the required rows
High,Open,HTTP client lifecycle,OkHttp clients are repeatedly constructed across request paths,"When communicating with external systems, the module sometimes builds a new communication channel for each request instead of reusing one.",InsuranceClaimResourceController; GeneralUtil; DataHandler; KenyaemrCoreRestController,Many methods call new OkHttpClient or newBuilder for individual requests,Lost connection reuse; repeated TLS and pool initialization; avoidable allocation and thread-pool overhead,"Inject one managed OkHttpClient with pooled connections, explicit timeouts, idle eviction, and shutdown cleanup"
High,Requires path-by-path validation,HTTP resource leak,External HTTP responses and URL connections are not uniformly closed,Some communication paths may open connections without reliably closing them afterwards.,InsuranceClaimResourceController; GeneralUtil; ExternalApiRequestImpl; PHC and checkout integrations,"The module mixes try-with-resources with raw OkHttp Response, Apache HttpResponse, HttpURLConnection, InputStream, and ByteArrayOutputStream paths","Socket, response-body, connection, and native-resource leakage under repeated external calls",Wrap all responses and streams in try-with-resources; disconnect URL connections in finally; add automated resource-lifecycle tests
