Severity,Category,Issue,Eplanation,Affected Area,Evidence,Potential Impact,Recommended Remediation
Critical,JDBC resource leak,JDBC statements and result sets are not consistently closed,"KenyaEMR opens files/resources in the records room but sometimes doesn't close them after use. If this keeps happening, eventually there may be no resources left for new work.",EtlManagerFragmentController; KenyaemrChartsRestController; RefreshETLTablesTask,CallableStatement objects passed to EtlAdminJobManager.execute are cleared from tracking but not closed; lock-check Statement and ResultSet objects also remain unclosed,Database cursor and driver/native-memory retention; connection-pool exhaustion; failures after repeated ETL execution,"Use try-with-resources for every Statement, PreparedStatement, CallableStatement, and ResultSet"
Critical,Heap pressure,Complete patient population is loaded and serialized,"For some reports, the system tries to bring the entire patient register onto one desk at once, even when it doesn't need all of it. That consumes a lot of memory and can make the application slow or even crash.",PivotTableChartsFragmentController.fetchDataSets; EtlManagerFragmentController.fetchDataSets,Both methods call getAllPatients() and place full Patient entities into a JSONObject,Large heap spikes; long garbage-collection pauses; oversized responses; possible OutOfMemoryError,"Remove unused endpoints or return small projections with filtering, pagination, and strict result limits"
High,Transaction lifecycle,Transactions are not explicitly rolled back on failure,"If a database operation fails halfway, the system doesn't always properly undo/clean up the unfinished work. This can leave database resources or locks hanging around.",EtlManagerFragmentController; KenyaemrChartsRestController; RefreshETLTablesTask,Transactions are begun and committed but failure paths rethrow without checking tx.isActive() and rolling back,Database locks and transaction state may remain until session cleanup; cancellation failures may recover inconsistently,Use Spring transaction management or explicitly roll back every active transaction before propagating failure
High,Concurrency,Shared in-memory lock protects REST and legacy UI jobs but not all execution surfaces,"There is a mechanism stopping two people from starting the same heavy job, but not every route follows that rule. A scheduled job could therefore run at the same time as a manually triggered job.",EtlAdminJobManager; RefreshETLTablesTask,REST and fragment controllers share AtomicBoolean single-flight coordination; the scheduled task bypasses EtlAdminJobManager,Scheduled refresh can overlap administrator jobs; separate JVM nodes can also run jobs concurrently,Route the scheduler through the same manager and add a tenant-aware database advisory lock or atomic job-control table
Medium,Database transaction,Multiple DDL and DML procedures run in broad transaction scopes,Some jobs perform too much work before releasing the database. Other activities may have to wait longer while that work completes.,EtlManagerFragmentController; KenyaemrChartsRestController,Procedure groups execute sequentially before status query and commit; MySQL DDL may implicitly commit,Long-held connections and locks; undo-log growth; replication lag; unclear partial-failure recovery,Define explicit phase boundaries and validate MySQL transaction semantics for each stored procedure
High,JDBC resource leak,Scheduled refresh leaves its CallableStatement open,Some very heavy operations can be triggered in a way normally meant just for retrieving information. They should require a deliberate action so they aren't accidentally triggered.,RefreshETLTablesTask,sp_scheduled_updates is prepared and executed without try-with-resources,Statement resources remain until connection cleanup; repeated runs add pool and driver pressure,Wrap the CallableStatement in try-with-resources and add explicit rollback
High,HTTP semantics,Expensive mutating ETL operations remain GET endpoints,"The same ETL processing logic exists in multiple places. So when you fix a problem in one place, you may forget the other copy.",KenyaemrChartsRestController,"recreateTables, refreshTables, recreateDatatoolsTables, recreateDwapiTables, and recreateFacilitywideTables use RequestMethod.GET","Retries, prefetching, monitoring, or crawlers can trigger unintended ETL jobs",Use authorized POST endpoints with idempotency and concurrency rejection
Medium,Architecture,ETL execution logic remains duplicated,"The same ETL processing logic exists in multiple places. So when you fix a problem in one place, you may forget the other copy.",EtlManagerFragmentController; KenyaemrChartsRestController,"Both controllers repeat procedure discovery, JDBC execution, transaction handling, status querying, and error handling",Resource and rollback fixes must be duplicated and may diverge,"Move ETL execution into one service responsible for locking, transactions, cleanup, job state, authorization, metrics, and errors"
High,Recovery safety,Stale-job recovery checks only local Java thread state,"KenyaEMR may decide that a job has stopped based on what Java sees, while the database could still be running it. Starting another job could then create overlap.",EtlAdminJobManager,recoverStaleJob can clear the in-memory lock without proving that the database procedure and its locks have ended,A second ETL job may start while the database is still processing the previous job,Verify database job or advisory-lock ownership before clearing local state
Medium,Cancellation,Statement cancellation has no enforced query or job timeout,"If an extraction job gets stuck, there isn't a strong enough “you've taken too long, stop now” mechanism.",EtlAdminJobManager,stopActiveJob calls Statement.cancel but no JDBC query timeout or maximum job runtime is configured,A driver or stored procedure may ignore cancellation and leave the single-flight lock occupied indefinitely,"Add query timeout, lock-wait timeout, maximum runtime, connection/session ID tracking, and a documented forced-stop procedure"
Low,Logging,ETL schema is printed and logged repeatedly,The application repeatedly writes information to logs that it doesn't need to keep repeating — basically unnecessary noise.,MultitenancyConfig,getEtlDatabaseName writes to System.out and the application log on every call,Unnecessary synchronous output and noisy logs during ETL query construction,Log schema discovery once when the cache is initialized and remove System.out
