ID,Severity,Status,Category,Issue,Explanation,Affected Area,Evidence,Potential Impact,Recommended Remediation,Verification Priority
KEMR-001,Critical,Open,Java heap retention,IP lockout maps have no automatic expiry or size limit,"KenyaEMR keeps a list of IP addresses that have failed login attempts, but the list doesn't have a proper size/expiry limit",IPAccessSecurity,failedAccessesByIP and lockoutTimeByIP are static HashMaps; entries disappear only after later successful or expiry-processing requests,Heap grows with abandoned or rotating IP addresses; synchronized access becomes slower; abuse can amplify retention,Replace both maps with one bounded expiring cache using maximumSize and expireAfterWrite,1
KEMR-002,Critical,Open,HTTP resource leak,Apache HTTP clients and responses are not closed in SHA and facility integrations,"When KenyaEMR communicates with SHA/facility services, some connections are opened but not properly closed afterwards.",FacilityStatusHandler; SHABenefitsPackageHandler; SHAInterventionsHandler,Each path creates CloseableHttpClient and executes HttpResponse without try-with-resources or client close,Socket and file-descriptor leakage; checked-out connection retention; native-memory growth; request stalls,Use one managed pooled HTTP client and close every CloseableHttpResponse; close the client on module shutdown,1
KEMR-003,High,Open,HTTP resource leak,OkHttp response is not closed and clients are repeatedly constructed,Similar problem with some HIE and other integrations. KenyaEMR also creates new communication clients repeatedly instead of efficiently reusing them.,KenyaEmrServiceImpl.getHIEILMediatorAuthToken; DataHandler; KenyaemrCoreRestController,new OkHttpClient and execute calls occur on request paths; at least the mediator token Response is not closed,Leaked response bodies and connections; extra thread pools and TLS setup; poor connection reuse,Reuse a managed OkHttpClient and wrap every Response in try-with-resources,2
KEMR-004,Critical,Open,Unbounded data loading,NUPI scheduled jobs load the complete patient population,"After loading patients, the job goes back to the database patient by patient to ask another question.",GetNUPIforAllTask; UpdateCCCnumbersTask,Both tasks call patientService.getAllPatients() and retain matching Patient entities in a second collection,Large Hibernate session and heap growth; long GC pauses; poor scaling; possible OutOfMemoryError,Query only qualifying patient IDs and process them in bounded batches with periodic flush and clear,2
KEMR-005,Critical,Open,N+1 database access,NUPI scheduled jobs query program enrollment once per patient,"After loading patients, the job goes back to the database patient by patient to ask another question.",GetNUPIforAllTask; UpdateCCCnumbersTask,"getPatientPrograms(patient, ...) is called inside loops over all patients",Thousands of database round trips; long scheduler runtimes; high database load,Select eligible program members in one database query or bulk-load enrollment data by patient ID,3
KEMR-006,High,Open,Throughput,NUPI processing sleeps five seconds after each patient,The process deliberately waits 5 seconds after every patient.,UpiUtilsDataExchange,Thread.sleep(5000) appears in two per-patient processing paths,One thousand patients add approximately 83 minutes of sleep while occupying the scheduler thread,Use an explicit rate limiter; apply bounded retry backoff only after retryable failures; prefer batch APIs,5
KEMR-007,High,Open,HTTP lifecycle,Several URL connections lack read timeouts and guaranteed disconnect,"Some external requests know how long to wait to connect, but don't properly define how long to wait for a response.",UpiUtilsDataExchange; NupiDataExchangeFragmentController; KenyaemrCoreRestController; DataHandler,Many paths configure only connect timeout and only a minority guarantee disconnect in finally,Threads can wait indefinitely after connection; sockets and streams may remain allocated,Set connect and read timeouts; close streams with try-with-resources; disconnect in finally; bound response sizes,2
KEMR-008,High,Open,Scheduler lifecycle,Auto-close task may remain permanently marked as executing,,AutoCloseActiveVisitsTask,stopExecuting is reached only when the visit query returns at least one row; empty results or early failures bypass reset,Future scheduled runs may be skipped permanently,Put the complete body after startExecuting inside an outer try/finally that always calls stopExecuting,4
KEMR-009,High,Open,Scheduler lifecycle,NUPI task execution flags are not reset from finally,"Some jobs raise a flag saying “I'm working”, but if something goes wrong, they may forget to lower the flag.",GetNUPIforAllTask; UpdateCCCnumbersTask,"stopExecuting appears after loading, filtering, and remote processing rather than in an encompassing finally block",Unexpected exceptions can leave tasks permanently marked as running,Wrap each task body in try/finally and reset execution state unconditionally,4
KEMR-010,High,Open,Database performance,Facility dashboard executes many large aggregation queries sequentially,Opening the facility dashboard can ask the database many big questions one after another.,KenyaemrCoreRestController; FacilityDashboardUtil,One dashboard response calls numerous independent COUNT DISTINCT and monthly aggregation methods over clinical tables,Slow requests; repeated table scans; database CPU saturation; request-thread blocking,Run EXPLAIN ANALYZE; add verified indexes; consolidate shared scans; cache by facility/date range; precompute where acceptable,6
KEMR-011,High,Open,Heap pressure,Report and PDF exports buffer complete output in memory,KenyaEMR sometimes creates an entire report/PDF in memory before sending it to the user.,ReportExportPageController; DataExportViewFragmentController; VisitSummaryPdfGenerator,Multiple paths render into ByteArrayOutputStream and then create additional byte-array copies,"Concurrent or large exports can cause high allocation rates, long GC pauses, and OutOfMemoryError",Stream to the HTTP response or a temporary file; enforce export size and concurrency limits,3
