ID,Severity,Status,Category,Hotspot,Affected Area,Evidence,Potential Impact,Recommended Remediation,Verification Priority
CFG-001,High,Resolved,Frontend payload,Oversized login background SVG replaced with lightweight image,frontend-config/dev/kenyaemr.config.json:45-46; dha_build.sh:36,"The login configuration now selects login-background_en.png (about 32 KB), and the DHA build no longer copies the 13 MB login-background_ksm.svg into the frontend.","The change avoids transferring and parsing the 13 MB SVG on the login route, reducing first-paint latency, browser memory, CPU use, and bandwidth consumption.","Verify the login page visually after the next DHA build and retain a production performance budget below 300 KB for the background image.",P0
CFG-002,High,Confirmed,Deployment size,Prebuilt override directories contain large JavaScript and source-map payloads,dist-form-entry; dist-patient-chart; dist-patient-tests; dist-patient-orders; dist-patient-medications; dist-primary-navigation; dist-service-queues; dist-dispense-app,"The eight tracked dist directories total about 82 MB and 4,504 files; JavaScript is about 40.04 MiB and 2,116 source maps consume about 25.93 MiB.","Deployments, archive creation, extraction, file scanning, backups, and cache invalidation take longer; serving maps publicly also wastes disk and can disclose source.","Generate overrides in CI from pinned sources, publish only required production files, exclude .map files from production artifacts unless secured, and enforce bundle/file-count budgets.",P0
CFG-003,High,Potential,Bundle duplication,Override copy routine may merge stale files into generated package directories,dev-build.sh:57-87; dha_build.sh:68-99; prod-build.sh:54-82; staging-build.sh:54-83,"Each script renames a tracked dist directory to the generated versioned package name and recursively copies it onto a package directory already created by the OpenMRS build; it does not first remove or validate the generated destination.","Depending on cp behavior and differing chunk manifests, nested directories or obsolete hashed chunks can remain, enlarging releases and risking clients loading incompatible assets.","Replace the destination atomically from a clean staging directory, fail on unexpected layouts, delete orphan chunks, and validate the final import map plus duplicate/nested directory counts.",P0
CFG-004,Medium,Confirmed,Cache/reproducibility,Production build resolves a mutable login-app version,frontend-config/prod/build-config.json:29,"The production module map specifies @kenyaemr/esm-login-app as latest while other modules are version pinned.","Identical source revisions can produce different bundles and performance characteristics; an upstream release can unexpectedly increase payload or regress startup.","Pin an exact tested login-app version and update it through a measured dependency-upgrade process with bundle-size comparisons.",P1
CFG-005,Medium,Confirmed,Cache/reproducibility,Several build entry points use mutable CLI tags,dev-build.sh:14 and 22; ethipioa_build.sh:14 and 22; taifa_care_build.sh:14 and 22,"Development and Ethiopia builds invoke openmrs@next, while the Taifa Care build invokes openmrs@latest for both build and assemble.","Build time, output chunking, runtime memory use, and caching can change without a repository change, making regressions hard to reproduce or bisect.","Pin one exact CLI version per supported distribution, record it in the package lock, and update deliberately after performance smoke tests.",P1
CFG-006,Medium,Confirmed,CI efficiency,Frontend build is repeated independently across deployment workflows,.github/workflows/dev-server-ci.yml:13-40 and 67-89; .github/workflows/qa-server-ci.yml:10-37,"A push to main builds and uploads the frontend in the development workflow, which then dispatches other workflows; QA independently checks out and runs the build script again.","The same dependency resolution and bundle assembly consume CI minutes multiple times and may produce non-identical outputs when mutable versions are involved.","Build one immutable artifact once, attach checksums and environment-specific config separately, then promote the verified artifact to QA/HIE/production.",P1
CFG-007,Medium,Confirmed,Configuration parsing,Large configuration overlays are loaded during application bootstrap,frontend-config/prod/build-config.json:48-51; frontend-config/prod/kenyaemr.config.json; frontend-config/prod/openmrs.config.json,"The production shell loads two configuration URLs totaling about 35 KB; other environments load overlays as large as 47 KB, with substantial repeated module configuration.","Bootstrap must download, parse, merge, and validate broad configuration even for routes that use only a subset; duplication increases parse/allocation cost and configuration drift.","Remove obsolete/default-equivalent settings, share generated common configuration, minify production JSON, enable compression and long-lived caching with content hashes, and measure config merge time.",P2
CFG-008,Medium,Potential,Form rendering,Several declarative forms are very large,configuration/ampathforms/HIV_Green_Card.json; configuration/ampathforms/MAT_Clinical_Encounter_Form.json; configuration/ampathforms/MCH_Antenatal_form.json,"The largest form definitions are approximately 242 KB, 220 KB, and 158 KB, and the ampathforms directory contains about 6.3 MB of JSON.","Opening a large form can cause noticeable JSON parsing, schema traversal, expression evaluation, DOM construction, and browser heap spikes on low-memory workstations.","Profile the largest forms on target hardware; split clinically independent sections, lazy-render collapsed sections, remove duplicate metadata, and define form-load/render budgets.",P1
CFG-009,Medium,Potential,Metadata startup/import,Configuration package contains hundreds of metadata artifacts,configuration; src/main/assembly/assembly.xml:14-19,"The repository has 285 JSON/XML/CSV configuration files plus OCL and metadata-sharing ZIPs; the Maven assembly packages the entire configuration directory.","Initial installation and upgrade can spend substantial time parsing, validating, and matching metadata, with temporary JVM heap pressure proportional to artifact complexity.","Measure initializer timing and peak heap on clean install and upgrade, retire superseded files, divide large imports into bounded sets where supported, and avoid re-importing unchanged artifacts.",P1
CFG-010,Medium,Confirmed,Release transfer,Workflow archives the complete generated frontend with verbose file traversal,.github/workflows/dev-server-ci.yml:33-50; .github/workflows/qa-server-ci.yml:30-47,"Deployment creates a tar.gz from the full frontend directory and uploads it for each commit; the tracked overrides alone contain thousands of files and tens of MiB before compression.","Archive creation/extraction, network transfer, and activation time grow with every retained chunk/map, extending deployments and increasing temporary disk usage.","Prune the frontend before archiving, exclude maps and orphan chunks, use content-addressed artifacts/delta-aware delivery where practical, and publish compressed/uncompressed size metrics.",P1
