Source Key,Workbook TC ID,Canonical Source Key,Exact Duplicate,Workflow,Scenario,Execution Safety,Implementation State,Execution State,Result,Required Decision or Data,Next Action
03_Registration!R2,TC041,03_Registration!R2,No,Registration landing navigation,Navigate to Registration Page,Sensitive read-only candidate,Implemented,Executed on UAT 2026-09-15,Passed,Read-only UAT account,Keep passing read-only sidebar-to-Client-Registry regression
03_Registration!R3,TC042,03_Registration!R3,No,National ID and Client Registry/HIE,Select National ID as Identification Type,Sensitive read-only candidate,Not implemented,Not executed,Not assessed,Current National ID control confirmed on UAT,Confirm National ID selector and implement read-only selection
03_Registration!R4,TC043,03_Registration!R4,No,National ID and Client Registry/HIE,Enter Valid National ID Number,Sensitive read-only candidate,Not implemented,Not executed,Not assessed,Approved synthetic National ID format; no real identity,Use approved synthetic/invalid ID fixture; verify validation before any external search
03_Registration!R5,TC044,03_Registration!R5,No,National ID and Client Registry/HIE,Validate Invalid National ID Format,Sensitive read-only candidate,Not implemented,Not executed,Not assessed,Approved synthetic National ID format; no real identity,Use approved synthetic/invalid ID fixture; verify validation before any external search
03_Registration!R6,TC045,03_Registration!R6,No,National ID and Client Registry/HIE,Search Patient by National ID,Sensitive read-only candidate,Not implemented,Not executed,Not assessed,Approved de-identified HIE/Client Registry fixture and read role,Confirm synthetic HIE fixture and current UI before E2E implementation
03_Registration!R7,TC046,03_Registration!R7,No,National ID and Client Registry/HIE,Display Patient Found in Client Registry,Sensitive read-only candidate,Not implemented,Not executed,Not assessed,Approved de-identified HIE/Client Registry fixture and read role,Confirm synthetic HIE fixture and current UI before E2E implementation
03_Registration!R8,TC047,03_Registration!R8,No,OTP and dependent verification,Send OTP for Patient Verification,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,"Approved OTP sandbox/test channel, synthetic person and consent",Confirm OTP test channel and fixture before gated E2E implementation
03_Registration!R9,TC048,03_Registration!R9,No,OTP and dependent verification,Enter Correct OTP Code,Sensitive read-only candidate,Not implemented,Not executed,Not assessed,"Approved OTP sandbox/test channel, synthetic person and consent",Confirm OTP test channel and fixture before gated E2E implementation
03_Registration!R10,TC049,03_Registration!R10,No,OTP and dependent verification,Handle Incorrect OTP Code,Sensitive read-only candidate,Not implemented,Not executed,Not assessed,"Approved OTP sandbox/test channel, synthetic person and consent",Confirm OTP test channel and fixture before gated E2E implementation
03_Registration!R11,TC050,03_Registration!R11,No,OTP and dependent verification,Resend Expired OTP,Sensitive read-only candidate,Not implemented,Not executed,Not assessed,"Approved OTP sandbox/test channel, synthetic person and consent",Confirm OTP test channel and fixture before gated E2E implementation
03_Registration!R12,TC051,03_Registration!R12,No,National ID and Client Registry/HIE,Display SHA Eligibility,Sensitive read-only candidate,Not implemented,Not executed,Not assessed,Approved de-identified HIE/Client Registry fixture and read role,Confirm synthetic HIE fixture and current UI before E2E implementation
03_Registration!R13,TC052,03_Registration!R13,No,OTP and dependent verification,View and Register Patient Dependent,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,"Approved OTP sandbox/test channel, synthetic person and consent",Confirm OTP test channel and fixture before gated E2E implementation
03_Registration!R14,TC053,03_Registration!R14,No,"Create, emergency, edit, or start visit",Enter Patient Demographic Details,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,"Explicit UAT write authorization, dedicated account, synthetic fixture and idempotency",Implement write-gated scenario only with approved synthetic data and cleanup/idempotency
03_Registration!R15,TC054,03_Registration!R15,No,Patient form and validation,Validate Required Fields,High-impact write/side effect possible,Partial implementation,Executed on UAT 2026-09-15,Passed (scoped),Authorized save attempt or isolated UI/API mock; verify no patient was created,Extend beyond pre-submit scope before claiming full workbook case
03_Registration!R16,TC055,03_Registration!R16,No,"Create, emergency, edit, or start visit",Validate Phone Number Format,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,"Explicit UAT write authorization, dedicated account, synthetic fixture and idempotency",Implement write-gated scenario only with approved synthetic data and cleanup/idempotency
03_Registration!R17,TC056,03_Registration!R17,No,Patient form and validation,Validate Date of Birth Field,Sensitive read-only candidate,Not implemented,Not executed,Not assessed,Read-only UAT account and current form control confirmation,Confirm current UI; implement and execute read-only assertions
03_Registration!R18,TC057,03_Registration!R18,No,"Create, emergency, edit, or start visit",Validate Gender Selection,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,"Explicit UAT write authorization, dedicated account, synthetic fixture and idempotency",Implement write-gated scenario only with approved synthetic data and cleanup/idempotency
03_Registration!R19,TC058,03_Registration!R19,No,National ID and Client Registry/HIE,Check Duplicate Patient Prevention,Sensitive read-only candidate,Not implemented,Not executed,Not assessed,Approved de-identified HIE/Client Registry fixture and read role,Confirm synthetic HIE fixture and current UI before E2E implementation
03_Registration!R20,TC059,03_Registration!R20,No,"Create, emergency, edit, or start visit",Complete Registration Workflow,High-impact write/side effect possible,Partial implementation (write gated),Not executed on UAT,Not run,"Explicit UAT write authorization, dedicated account, synthetic fixture and idempotency",Authorized live synthetic registration and UAT-assigned-ID reconciliation
03_Registration!R21,TC060,03_Registration!R21,No,"Create, emergency, edit, or start visit",Register Patient Without Identifiers,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,"Explicit UAT write authorization, dedicated account, synthetic fixture and idempotency",Implement write-gated scenario only with approved synthetic data and cleanup/idempotency
03_Registration!R22,TC061,03_Registration!R22,No,"Create, emergency, edit, or start visit",Handle Emergency Follow-Up,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,"Explicit UAT write authorization, dedicated account, synthetic fixture and idempotency",Implement write-gated scenario only with approved synthetic data and cleanup/idempotency
03_Registration!R23,TC041,03_Registration!R23,No,Patient form and validation,Verify Registration Form Layout,High-impact write/side effect possible,Partial implementation,Executed on UAT 2026-09-15,Passed (scoped),Read-only UAT account and current form control confirmation,Extend beyond pre-submit scope before claiming full workbook case
03_Registration!R24,TC042,03_Registration!R24,No,"Create, emergency, edit, or start visit",Register New Patient - Complete Data,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,"Explicit UAT write authorization, dedicated account, synthetic fixture and idempotency",Implement write-gated scenario only with approved synthetic data and cleanup/idempotency
03_Registration!R25,TC043,03_Registration!R25,No,"Create, emergency, edit, or start visit",Register Patient - Mandatory Fields Only,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,"Explicit UAT write authorization, dedicated account, synthetic fixture and idempotency",Implement write-gated scenario only with approved synthetic data and cleanup/idempotency
03_Registration!R26,TC044,03_Registration!R26,No,Patient form and validation,Empty Mandatory Fields Validation,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,Authorized save attempt or isolated UI/API mock; verify no patient was created,Implement write-gated scenario only with approved synthetic data and cleanup/idempotency
03_Registration!R27,TC045,03_Registration!R27,No,Patient form and validation,Invalid Phone Number Format,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,Authorized save attempt or isolated UI/API mock; verify no patient was created,Implement write-gated scenario only with approved synthetic data and cleanup/idempotency
03_Registration!R28,TC046,03_Registration!R28,No,Patient form and validation,Invalid Email Format,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,Authorized save attempt or isolated UI/API mock; verify no patient was created,Implement write-gated scenario only with approved synthetic data and cleanup/idempotency
03_Registration!R29,TC047,03_Registration!R29,No,Patient form and validation,Date of Birth Validation,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,Authorized save attempt or isolated UI/API mock; verify no patient was created,Implement write-gated scenario only with approved synthetic data and cleanup/idempotency
03_Registration!R30,TC048,03_Registration!R30,No,Patient form and validation,Age Calculation from DOB,Sensitive read-only candidate,Not implemented,Not executed,Not assessed,Read-only UAT account and current form control confirmation,Confirm current UI; implement and execute read-only assertions
03_Registration!R31,TC049,03_Registration!R31,No,National ID and Client Registry/HIE,Search Existing Patient,Sensitive read-only candidate,Not implemented,Not executed,Not assessed,Approved de-identified HIE/Client Registry fixture and read role,Confirm synthetic HIE fixture and current UI before E2E implementation
03_Registration!R32,TC054,03_Registration!R32,No,Patient form and validation,Gender Selection,Sensitive read-only candidate,Partial implementation,Executed on UAT 2026-09-15,Passed (scoped),Product decision: workbook expects Male/Female/Other dropdown; observed UAT form has Male/Female radios,Resolve Male/Female/Other product mismatch; execute scoped radio check if authorized
03_Registration!R33,TC055,03_Registration!R33,No,Patient form and validation,Address Fields,Sensitive read-only candidate,Partial implementation,Executed on UAT 2026-09-15,Passed (scoped),Read-only UAT account and current form control confirmation,Review scoped result before extending assertions
03_Registration!R34,TC056,03_Registration!R34,No,"Create, emergency, edit, or start visit",Primary Phone Number,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,"Explicit UAT write authorization, dedicated account, synthetic fixture and idempotency",Implement write-gated scenario only with approved synthetic data and cleanup/idempotency
03_Registration!R35,TC061,03_Registration!R35,No,"Create, emergency, edit, or start visit",Save and Start Visit,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,Explicit patient and visit write authorization; verify Save and Start Visit control,Implement write-gated scenario only with approved synthetic data and cleanup/idempotency
03_Registration!R36,TC062,03_Registration!R36,No,Patient form and validation,Cancel Registration,Sensitive read-only candidate,Partial implementation,Executed on UAT 2026-09-15,Passed (scoped),Read-only UAT account and current form control confirmation,Review scoped result before extending assertions
03_Registration!R37,TC063,03_Registration!R37,No,"Create, emergency, edit, or start visit",Edit Patient Demographics,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,"Explicit UAT write authorization, dedicated account, synthetic fixture and idempotency",Implement write-gated scenario only with approved synthetic data and cleanup/idempotency
03_Registration!R38,TC065,03_Registration!R38,No,Patient form and validation,Registration Form Load Time,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,Agreed device/network benchmark for workbook's <2-second threshold,"Agree device/network benchmark, then implement form-load timing assertion"
03_Registration!R39,TC041,03_Registration!R23,Yes,Patient form and validation,Verify Registration Form Layout,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,Read-only UAT account and current form control confirmation,Review exact duplicate with test owner; do not mark separately passed automatically
03_Registration!R40,TC042,03_Registration!R24,Yes,"Create, emergency, edit, or start visit",Register New Patient - Complete Data,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,"Explicit UAT write authorization, dedicated account, synthetic fixture and idempotency",Review exact duplicate with test owner; do not mark separately passed automatically
03_Registration!R41,TC043,03_Registration!R25,Yes,"Create, emergency, edit, or start visit",Register Patient - Mandatory Fields Only,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,"Explicit UAT write authorization, dedicated account, synthetic fixture and idempotency",Review exact duplicate with test owner; do not mark separately passed automatically
03_Registration!R42,TC044,03_Registration!R26,Yes,Patient form and validation,Empty Mandatory Fields Validation,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,Authorized save attempt or isolated UI/API mock; verify no patient was created,Review exact duplicate with test owner; do not mark separately passed automatically
03_Registration!R43,TC045,03_Registration!R27,Yes,Patient form and validation,Invalid Phone Number Format,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,Authorized save attempt or isolated UI/API mock; verify no patient was created,Review exact duplicate with test owner; do not mark separately passed automatically
03_Registration!R44,TC046,03_Registration!R28,Yes,Patient form and validation,Invalid Email Format,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,Authorized save attempt or isolated UI/API mock; verify no patient was created,Review exact duplicate with test owner; do not mark separately passed automatically
03_Registration!R45,TC047,03_Registration!R29,Yes,Patient form and validation,Date of Birth Validation,High-impact write/side effect possible,Not implemented,Not executed,Not assessed,Authorized save attempt or isolated UI/API mock; verify no patient was created,Review exact duplicate with test owner; do not mark separately passed automatically
