Severity,Status,Category,Issues,Explanation,Affected Area,Evidence,Potential Impact,Recommended Remediation,Verification Priority,,,,,
High,Confirmed,Java resource leak,Scheduler sessions are not closed when scoring throws,"When an ML prediction job starts, it opens a working session with KenyaEMR. If the job fails unexpectedly, that session may remain open instead of being cleaned up.",GenerateIITMLPredictionsTask.java:16-20, GenerateRTCMLPredictionsTask.java:16-20,"Each task calls Context.openSession(), runs generation, and calls Context.closeSession() without a finally block.","An unchecked failure can leave an OpenMRS/Hibernate session bound to the scheduler thread, retaining its persistence context and database resources across later executions.",Wrap task execution in try/finally and close only the session opened by the task, add a test that forces generation to throw and asserts cleanup.,P0,,,
High,Confirmed,HTTP resource leak,Remote IIT responses are not closed,"When the ML module sends information to the remote IIT prediction service, some communication channels may remain open after errors.",ModelServiceImpl.java:286-301, MachineLearningRestController.java:491-506,Both paths execute an OkHttp call into a Response local variable without try-with-resources, successful body.string() consumes a body but error and early-return paths do not guarantee Response.close().,"Repeated scoring can strand response bodies/connections, reduce connection-pool availability, and increase native/socket resource use.",Use try (Response response = client.newCall(request).execute()) in every path and avoid returning before the block closes.,P0,,,
High,Confirmed,Database/CPU amplification,IIT local scoring performs seven sequential SQL calls per patient,"To calculate one patient's IIT risk score, the module can make seven separate database calls for visits, pharmacy, demographics, labs, ART, ETL status, CD4, etc.",ModelServiceImpl.java:583-618,"Every local patient score separately executes visits, pharmacy, demographics, lab, ART, last-ETL-update, and CD4 stored procedures; batch generation invokes this in its patient loop at MLDataExchange.java:733-752.",Runtime and database load grow roughly with 7 x patient count, repeated facility-wide runs can saturate the DB and hold scheduler transactions for a long time.,"Bulk-fetch features for a bounded patient batch, cache the facility-wide ETL timestamp once per run, consolidate queries where practical, and measure query plans/latency.",P0,,,,
High,Confirmed,Heap pressure/ORM retention,Facility-wide jobs materialize all Patient entities and process them in one session,Facility-wide prediction jobs can load the whole eligible patient population into memory and process them in one long session.,MLDataExchange.java:725-733, MLDataExchange.java:794-802, MLDataExchange.java:926-932, MLDataExchange.java:1020-1025,"Eligibility queries return full result lists, convert every id to a Patient entity, store all Patients in another list, and then score/save them under one scheduler session; no periodic session flush/clear is present.","Large facilities can retain Patient graphs, scores, query results, and dirty entities until job completion, causing long GC pauses or OutOfMemoryError even without a permanent static leak.","Page only patient IDs, load/process a small chunk in a transaction, flush and clear the Hibernate session between chunks, and discard each page before fetching the next.",P0,,
High,Confirmed,Query amplification,Dashboard summaries use full patient enumeration plus N+1 queries,"To build dashboard summaries, the system first gets the patients and then goes back to the database again and again for each patient.",HibernateMLinKenyaEMRDao.java:169-200, HibernateMLinKenyaEMRDao.java:373-405,Both IIT and RTC summaries first list distinct patients and then call getPatientPrograms plus a latest-risk-score query for each patient.,Dashboard latency and database traffic increase linearly with cohort size and can become thousands of queries per page load.,Replace the loop with one grouped/conditional aggregate query restricted to active HIV patients and each patient's latest score, verify with SQL query-count tests.,P0,,,
High,Confirmed,Heap pressure/over-fetching,DAO loads the entire risk-score table as entities,"Some functions retrieve the complete ML risk-score table, including historical predictions, instead of retrieving only what's needed.",HibernateMLinKenyaEMRDao.java:217-241, HibernateMLinKenyaEMRDao.java:272-273,getAllPatients() calls criteria.list() for every PatientRiskScore and builds a second HashSet, getAllPatientRiskScore() also returns the whole entity table without paging.,"Risk-score history growth directly raises heap use, hydration cost, and GC pressure; callers can accidentally exhaust heap.","Query distinct patient IDs directly with status predicates, add pagination to history APIs, and remove or tightly restrict the unbounded get-all method.",P0,,,
Medium,Confirmed,Java resource leak,PMML ZIP streams are never closed,"When KenyaEMR loads the actual prediction model, some file resources aren't consistently closed afterwards.",HTSMLServiceImpl.java:35-51, IITMLServiceImpl.java:35-51,"Model initialization opens classpath InputStream, BufferedInputStream, and ZipInputStream objects without try-with-resources.","Normally this leaks only during service initialization, but failed or concurrent initialization attempts can accumulate ZIP/file resources and temporary parsing allocations.","Open the classpath stream and ZipInputStream in try-with-resources, validate null resources, and publish the evaluator only after a successful build.",P1,,,,
Medium,Potential,Concurrency/allocation,Evaluator lazy initialization is unsynchronized,"If several requests arrive when the ML model hasn't initialized yet, multiple requests could all try to load the large model simultaneously.",HTSMLServiceImpl.java:27-51 and 72-75, IITMLServiceImpl.java:27-51 and 72-75,The shared evaluator field is neither volatile nor guarded, concurrent first requests can all observe null and build the large PMML model independently.,"Startup traffic can cause duplicate model parsing, transient heap spikes, leaked streams, and unsafe publication of the evaluator.",Initialize through Spring lifecycle/eager singleton construction or use properly synchronized safe publication, load exactly once and fail startup clearly if invalid.,P1,,
Medium,Confirmed,Repeated parsing/allocation,Facility matrix files are read and parsed repeatedly,Some reference/configuration files used by the ML model are repeatedly opened and parsed instead of being loaded once and reused.,MLUtils.java:218-248, MLUtils.java:302-323, MLUtils.java:381-403, MLUtils.java:454-482,"Threshold/profile calls repeatedly open bundled JSON, deserialize the complete array, sometimes stringify it, and parse it again; their InputStreams are not closed.","Every scoring request adds avoidable classpath I/O, full-array allocation, CPU work, and short-lived heap pressure; unclosed streams add a resource-leak risk.","Parse each immutable matrix once at module startup into an MFL-code lookup map, reuse it for profiles and thresholds, and close initialization streams with try-with-resources.",P1,,
Medium,Confirmed,Client/connection churn,A new OkHttpClient is constructed for individual remote scores,"For some remote predictions, the system creates a new communication client every time rather than reusing one.",ModelServiceImpl.java:286, ModelServiceImpl.java:438, MachineLearningRestController.java:491,Remote scoring paths construct new OkHttpClient instances instead of sharing a configured singleton.,"Per-patient batch calls lose effective connection-pool/thread-pool reuse and create excess objects, TLS handshakes, threads, and latency.",Inject one module-scoped OkHttpClient with bounded dispatcher/connection-pool settings and explicit connect/read/call timeouts.,P1,,,
