ID,Severity,Status,Area,Route or asset,Finding,Evidence,Likely impact,Recommended action,Retest / acceptance criterion
QA-FE-001,High,Leak candidate,Memory and lifecycle,"/openmrs/spa/home/dashboard <-> /openmrs/spa/patient-registration","DOM nodes and event listeners are retained after repeated SPA route round trips","The latest Playwright run recorded identical dashboard slopes of +294 nodes and +2,191 JSEventListeners per cycle: Nodes 1,582 -> 1,876 -> 2,170 -> 2,464; listeners 7,577 -> 9,768 -> 11,959 -> 14,150. A second independent Playwright run reproduced the same slopes; the earlier direct-CDP harness also showed linear retention.","Long user sessions may accumulate detached DOM and listeners, increasing memory use and duplicate handler work.","Profile the home dashboard, patient-registration ESM, and shared shell extensions with Chrome heap snapshots. Check useEffect cleanup, subscriptions, global/window listeners, observers, timers, workspace registration, and AbortControllers on unmount.","Run at least 10 identical round trips with forced GC; node and listener counts should return near each route's warmed baseline instead of increasing linearly."
QA-FE-002,High,Leak candidate,JavaScript heap,"Dashboard and patient-registration route cycle","Playwright measured forced-GC JavaScript heap growth on every dashboard cycle","Latest dashboard JSHeapUsedSize checkpoints: 24,976,520 -> 25,410,500 -> 25,871,264 -> 26,243,024 bytes; total growth 1,266,504 bytes and average growth 422,168 bytes per cycle. The preceding independent run also grew on every cycle by 1,323,636 bytes total.","If the trend continues in longer workflows, browser memory use can climb throughout a clinical session and eventually increase GC pauses or tab instability.","Compare heap snapshots after warm-up and the final cycle, inspect detached DOM retainers, and separate one-time module caching from objects retained on every navigation.","After warm-up, forced-GC heap should plateau across 10-20 cycles while detached-node and listener counts remain stable."
QA-FE-003,High,Confirmed,Cold-load bundle volume,/openmrs/spa/home/dashboard,"The authenticated dashboard starts a broad ESM payload","Latest uncached Playwright capture: 188 completed requests and 3,241,656 transfer bytes. Scripts account for 139 requests and 2,754,520 transfer bytes (about 85.0% of transferred bytes). The earlier direct-CDP capture measured 14,428,706 decoded bytes.","Slower startup and more parse/compile/main-thread work, especially on low-memory devices or poor links.","Reduce initial ESM activation, defer non-critical extensions, audit shared dependencies, and set performance budgets for initial route scripts.","On an uncached dashboard load, materially reduce total requests and transferred script bytes; track with a fixed-device Lighthouse/CDP budget."
QA-FE-004,Medium,Confirmed,Login bootstrap,/openmrs/spa/login,"The login route loads substantial framework and script payload before authentication","Latest uncached Playwright capture: 52 completed requests and 1,549,927 transfer bytes. JavaScript accounts for 34 requests and 950,384 transfer bytes; the earlier direct-CDP capture measured 8,747,094 decoded bytes.","Adds delay and CPU work before users can sign in.","Load only login-critical ESMs before authentication; defer devtools, implementer tools, and non-login extensions when they are not required.","Reduce uncached login request count and transferred script bytes without changing sign-in behavior."
QA-FE-005,Medium,Confirmed,Large shared assets,"/openmrs/spa/5434de50ba8b98b6.js; /openmrs/spa/deacaf31ce91ad77.js","Two hashed shared JavaScript files dominate both login and dashboard transfer","Gzip transfer sizes are 288,613 and 275,968 bytes respectively; together they transfer 564,581 bytes.","Large shared chunks delay download, decompression, parsing, and compilation on every cold session.","Generate webpack bundle-analysis reports and source-map-explorer output to identify packages in these chunks; remove duplicate libraries and split login-ineligible code.","No single initial shared chunk should exceed the agreed gzip budget; verify composition in CI."
QA-FE-006,Medium,Needs review,ESM activation,/openmrs/spa/home/dashboard,"Dashboard startup downloads sizeable chunks from adjacent workflow ESMs","Observed gzip chunks include express-workflow 108,075 and 53,104 bytes; patient-registration 101,510, 89,204, and 42,928 bytes; patient-search 65,613 and 42,902 bytes.","If these features are not immediately visible, eager activation wastes bandwidth and memory; if visible as extensions, the cost may be intentional.","Map each request to its active page or extension slot. Lazy-load non-visible panels/actions and keep route-only components behind dynamic imports.","Document why every initial-route ESM is active; defer chunks that are not required above the fold."
QA-FE-007,Medium,Confirmed,CSS,/openmrs/spa/openmrs.c72e54f3347f80b1.css,"A large global stylesheet is part of login and dashboard startup","The global stylesheet transfers 200,772 bytes gzip; all three stylesheets total about 228,153 transfer bytes on the dashboard.","CSS download, parse, selector matching, and style recalculation affect initial rendering.","Audit unused Carbon/component CSS, split route-specific styles, and avoid shipping duplicate theme rules across ESMs.","Reduce initial CSS gzip bytes and confirm no visual regressions in login and dashboard screenshots."
QA-FE-008,Low,Confirmed,API request count,/openmrs/spa/home/dashboard,"The dashboard makes many small API requests","The latest Playwright capture recorded 36 Fetch requests transferring 69,376 bytes, with no dashboard request failures.","Even with a small byte total, request latency and server concurrency can make the page feel slow on high-latency networks.","Identify duplicate or serial requests, share cached session/config data, batch where supported, and avoid fetching data for hidden extensions.","Reduce duplicate/serial fetches and measure route-ready time under realistic network latency."
QA-FE-009,Low,Confirmed,Broken asset,/openmrs/spa/badge_ksm.png,"The login page requests an image that returns HTTP 404","The failed image request was reproduced on each cold login capture.","Wastes one network round trip, creates console/network noise, and may leave a missing visual.","Deploy the referenced file or remove/update the obsolete badge_ksm.png configuration reference.","The login network log contains no 404 for badge_ksm.png."
QA-FE-010,Info,Resolved,Login image,/openmrs/spa/login-background_en.png,"The optimized login background is deployed and served successfully","HTTP 200; 30,074 transfer bytes in the live QA capture. The earlier static audit found the replaced login-background_ksm.svg at roughly 13 MB.","The oversized login-background transfer hotspot has been removed from QA.","Keep the optimized asset and add an image-size budget so a large SVG cannot be reintroduced.","Login background remains below the agreed byte budget and renders correctly."
