Source Key,Workbook TC ID,Spec,Implementation State,Execution State,Result,Notes
01_Login!R2,TC001,e2e/cases/login-smoke.spec.ts,Partial implementation,Executed on UAT 2026-09-15,Passed (scoped),Password recovery excluded by user request; original workbook TC001 remains broader
01_Login!R3,TC002,e2e/cases/login-smoke.spec.ts,Implemented,Executed on UAT 2026-09-15,Failed,Document exceeds viewport by 48 px at all three tested sizes; footer images visible
01_Login!R7,TC006,e2e/cases/login-smoke.spec.ts,Implemented,Executed on UAT 2026-09-15,Passed,Blank form remained on login and required-field validation was present
01_Login!R8,TC007,e2e/cases/login-smoke.spec.ts,Implemented,Executed on UAT 2026-09-15,Passed,Password input stayed type=password after sentinel entry
EDGE-006,,e2e/performance/qa-performance.spec.ts,Partial implementation,Executed on UAT 2026-09-15 with ten cycles,Failed plateau criterion,DOM nodes and listeners grew every cycle; strict CI budget is optional and needs an agreed tolerance
03_Registration!R2,TC041,e2e/cases/registration-readonly.spec.ts,Implemented,Executed on UAT 2026-09-15,Passed,Clicked Registration in the home sidebar; landing page showed Client Registry verification
03_Registration!R3,TC042,e2e/cases/registration-principal-otp.spec.ts,Partial implementation (human-assisted OTP),Attempted on UAT 2026-09-16,Passed (scoped),National ID selection was asserted before the later OTP-modal test interruption
03_Registration!R4,TC043,e2e/cases/registration-principal-otp.spec.ts,Partial implementation (human-assisted OTP),Attempted on UAT 2026-09-16,Passed (scoped),Approved 8-digit ID was retained in the field and Search became enabled; no ID is recorded here
03_Registration!R6,TC045,e2e/cases/registration-principal-otp.spec.ts,Partial implementation (human-assisted OTP),Attempted on UAT 2026-09-16,Passed (scoped),ID search returned an OTP action; HIE patient details were not fully asserted
03_Registration!R8,TC047,e2e/cases/registration-principal-otp.spec.ts,Partial implementation (human-assisted OTP),Attempted on UAT 2026-09-16,Not assessed,A modal overlaid Enter OTP; its contents and SMS delivery were not confirmed
03_Registration!R9,TC048,e2e/cases/registration-principal-otp.spec.ts,Partial implementation (human-assisted OTP),Not reached in UAT attempt 2026-09-16,Not run,Test stopped at an unidentified modal before entering or verifying a code; corrected code awaits a safe rerun
03_Registration!R15,TC054,e2e/cases/registration-readonly.spec.ts,Partial implementation,Executed on UAT 2026-09-15,Passed (scoped),Empty First and Family Name were HTML-required; Save was not clicked and validation messages were not assessed
03_Registration!R20,TC059,e2e/cases/registration-uat.spec.ts,Partial implementation (write gated),Executed on UAT 2026-09-15,Passed (scoped),One authorized synthetic emergency registration saved and UAT-assigned ID captured locally; no visit started
03_Registration!R23,TC041,e2e/cases/registration-readonly.spec.ts,Partial implementation,Executed on UAT 2026-09-15,Passed (scoped),Basic Info Contact Details Demographics and Next of Kin sections plus Register and Cancel were visible; not all fields or required indicators assessed
03_Registration!R32,TC054,e2e/cases/registration-readonly.spec.ts,Partial implementation,Executed on UAT 2026-09-15,Passed (scoped),Male/Female radio switching passed before Save; workbook expects Other dropdown and saved selection; product decision pending
03_Registration!R33,TC055,e2e/cases/registration-readonly.spec.ts,Partial implementation,Executed on UAT 2026-09-15,Passed (scoped),County Sub County Ward and Village fields visible; hierarchical selection and saved values remain untested
03_Registration!R36,TC062,e2e/cases/registration-readonly.spec.ts,Partial implementation,Executed on UAT 2026-09-15,Passed (scoped),Synthetic unsaved Cancel returned to previous page with no observed patient POST; workbook confirmation prompt absent; full-case result needs product review
